source_model,metric,n_seeds,mean,std,ci95_low,ci95_high
colored,accuracy,3,0.7468671679197995,0.021704897337955886,0.6929448621553883,0.8007894736842106
colored,balanced_accuracy,3,0.7416017712627881,0.03140647937071378,0.663577454573217,0.8196260879523593
colored,auc,3,0.8093602076652924,0.005153882678802204,0.7965562200051302,0.8221641953254546
colored,left_recall,3,0.6949152542372881,0.11742717339450016,0.403186440677966,0.9866440677966102
colored,right_recall,3,0.7882882882882883,0.05461421465307266,0.6526081081081083,0.9239684684684684
tetris,accuracy,3,0.7167919799498746,0.018921890815214882,0.6697836036239212,0.7638003562758283
tetris,balanced_accuracy,3,0.7036952206443732,0.03189913355777072,0.6244469843344063,0.7829434569543401
tetris,auc,3,0.7931745304626661,0.004732931360460799,0.7814163282465032,0.8049327326788287
tetris,left_recall,3,0.5875706214689266,0.15191332948868644,0.21016653266662783,0.9649747102712254
tetris,right_recall,3,0.8198198198198199,0.0899774070064783,0.5962855097077998,1.0
