task,seed,metric,value,preliminary
tetris,0,cycle_mse,0.023099062442779542,False
tetris,0,endpoint_mse,0.013788059242069722,False
tetris,0,endpoint_psnr_db,20.060777893066405,False
tetris,0,silhouette_iou,0.7918601608276368,False
tetris,0,trajectory_mse,0.006858082953840494,False
tetris,1,cycle_mse,0.025099784955382346,False
tetris,1,endpoint_mse,0.014648244678974152,False
tetris,1,endpoint_psnr_db,19.574206466674806,False
tetris,1,silhouette_iou,0.7914209794998169,False
tetris,1,trajectory_mse,0.007249108348041773,False
tetris,2,cycle_mse,0.023734912648797034,False
tetris,2,endpoint_mse,0.013676749020814895,False
tetris,2,endpoint_psnr_db,20.00785873413086,False
tetris,2,silhouette_iou,0.7918340039253234,False
tetris,2,trajectory_mse,0.006754278931766749,False
colored,0,cycle_mse,0.03223981864750385,False
colored,0,endpoint_mse,0.021985915526747703,False
colored,0,endpoint_psnr_db,18.970365600585936,False
colored,0,silhouette_iou,0.681946759223938,False
colored,0,trajectory_mse,0.011940283551812172,False
colored,1,cycle_mse,0.03453173518180847,False
colored,1,endpoint_mse,0.02325663037598133,False
colored,1,endpoint_psnr_db,17.915748519897463,False
colored,1,silhouette_iou,0.6711609721183777,False
colored,1,trajectory_mse,0.012755353674292565,False
colored,2,cycle_mse,0.03538723096251488,False
colored,2,endpoint_mse,0.023846144825220107,False
colored,2,endpoint_psnr_db,18.151616744995117,False
colored,2,silhouette_iou,0.6593763351440429,False
colored,2,trajectory_mse,0.012822597175836564,False
maze,0,endpoint_iou,0.9855741310119629,False
maze,0,endpoint_mse,0.004124262137338519,False
maze,0,goal_reached,1.0,False
maze,0,obstacle_violation_rate,0.0,False
maze,0,path_precision,0.9920546436309814,False
maze,0,path_recall,0.993281078338623,False
maze,0,trajectory_mse,0.008665381111204623,False
maze,1,endpoint_iou,0.9762840509414673,False
maze,1,endpoint_mse,0.006175301978364587,False
maze,1,goal_reached,1.0,False
maze,1,obstacle_violation_rate,0.0,False
maze,1,path_precision,0.987942590713501,False
maze,1,path_recall,0.98807279586792,False
maze,1,trajectory_mse,0.009721581749618053,False
maze,2,endpoint_iou,0.9626394653320313,False
maze,2,endpoint_mse,0.008878592401742935,False
maze,2,goal_reached,1.0,False
maze,2,obstacle_violation_rate,0.0,False
maze,2,path_precision,0.980304970741272,False
maze,2,path_recall,0.9816296195983887,False
maze,2,trajectory_mse,0.009884604439139365,False
