task,renderer,metric,n_seeds,mean,std,ci95_low_display,ci95_high_display
colored,repeated_resampling,endpoint_mse,3,0.023029563626344802,0.000950674825358885,0.020667765834014966,0.025391361418674638
colored,repeated_resampling,endpoint_psnr_db,3,18.345910302797954,0.5535043751997213,16.970818235015358,19.72100237058055
colored,repeated_resampling,foreground_area_ratio,3,0.9526091874887546,0.022075242544726252,0.8977668189768946,1.0074515560006145
colored,repeated_resampling,sharpness_ratio,3,0.8410792766759793,0.013900380986867652,0.8065460290800579,0.8756125242719006
colored,repeated_resampling,silhouette_iou,3,0.6708284470190604,0.011288910664421272,0.6427829749250942,0.6988739191130269
colored,repeated_resampling,trajectory_mse,3,0.012506078194862009,0.0004911447903474824,0.01128590842638299,0.01372624796334103
colored,single_source,arbitrary_t_0.37_mse,3,0.004553671420820441,0.0013385682974758112,0.001228215054951469,0.007879127786689411
colored,single_source,endpoint_mse,3,0.010403614461132141,0.003193750426541552,0.002469258248627213,0.018337970673637065
colored,single_source,endpoint_psnr_db,3,21.542063895861308,1.8256661855195706,17.006491635531805,26.07763615619081
colored,single_source,foreground_area_ratio,3,0.9907485509912173,0.012842033291219558,0.9588445970132852,1.0226525049691495
colored,single_source,sharpness_ratio,3,1.1367303013801575,0.03178130205397025,1.0577747983772263,1.2156858043830887
colored,single_source,silhouette_iou,3,0.8252097193151713,0.03197064617978064,0.7457838214659677,0.9046356171643747
colored,single_source,trajectory_mse,3,0.005770469341168791,0.001635332325010444,0.0017077507628397246,0.009833187919497858
maze,additive_flow,activation_time_mae_normalized,3,0.0665947458955149,0.005165345415644367,0.05376228092024374,0.07942721087078602
maze,additive_flow,endpoint_iou,3,0.9748325510819753,0.011536036045885247,0.9461731359605917,1.0
maze,additive_flow,endpoint_mse,3,0.006392720456206007,0.002384608090110486,0.00046854746606848647,0.012316893446343527
maze,additive_flow,future_path_activation_rate_at_0_1,3,0.3552035153998683,0.03095185128941186,0.2783086486232521,0.43209838217648444
maze,additive_flow,future_path_activation_rate_at_0_5,3,0.13858585204919413,0.002543064507619572,0.1322680197266848,0.14490368437170345
maze,additive_flow,future_path_mean_intensity,3,0.16439835416191878,0.00731438117423093,0.14622695754053872,0.18256975078329885
maze,additive_flow,goal_reached,3,1.0,0.0,1.0,1.0
maze,additive_flow,intermediate_prefix_iou,3,0.8423049672941366,0.008162744671827912,0.82202594882113,0.8625839857671435
maze,additive_flow,missed_path_activation_rate,3,0.012251934215504055,0.00578043918857043,0.0,0.026612500152556937
maze,additive_flow,monotonicity_violation_rate,3,0.0012278532677070567,0.0013736527303184198,0.0,0.004640471230604262
maze,additive_flow,obstacle_violation_rate,3,0.0,0.0,0.0,0.0
maze,additive_flow,off_path_activation_rate_at_0_1,3,0.01759610589729467,0.003763773971550222,0.008245618412280997,0.026946593382308336
maze,additive_flow,path_precision,3,0.9867674025893212,0.005962340006215285,0.9719549335008678,1.0
maze,additive_flow,path_recall,3,0.9876611731449763,0.00583660851012108,0.9731610636162595,1.0
maze,additive_flow,premature_activation_rate,3,0.3165101074251773,0.02634731978390759,0.25105445419911226,0.3819657606512424
maze,additive_flow,trajectory_mse,3,0.009423856444385214,0.0006618964276564724,0.007779481859205763,0.011068231029564661
tetris,repeated_resampling,endpoint_mse,3,0.014037684296393611,0.0005316815826095927,0.012716807426054981,0.015358561166732244
tetris,repeated_resampling,endpoint_psnr_db,3,19.880947434107462,0.2669602374642546,19.217727916072043,20.54416695214288
tetris,repeated_resampling,foreground_area_ratio,3,1.047825537919998,0.010690698077598834,1.0212662282121745,1.0743848476278217
tetris,repeated_resampling,sharpness_ratio,3,0.8163134203851223,0.006629486151943427,0.7998435346363013,0.8327833061339434
tetris,repeated_resampling,silhouette_iou,3,0.7917050434648991,0.000246351382595175,0.7910930233124447,0.7923170636173535
tetris,repeated_resampling,trajectory_mse,3,0.006953823477391173,0.00026093803315263786,0.006305565151625432,0.007602081803156914
tetris,single_source,arbitrary_t_0.37_mse,3,0.001846910072360212,0.0002700973903722434,0.0011758968054901258,0.0025179233392302984
tetris,single_source,endpoint_mse,3,0.005995247652936087,0.0008196425467259365,0.003958978356937705,0.008031516948934468
tetris,single_source,endpoint_psnr_db,3,23.58210901896159,0.857271917757302,21.452355638754824,25.711862399168353
tetris,single_source,foreground_area_ratio,3,1.0588177744547527,0.0041825319400318264,1.0484269505486001,1.0692085983609048
tetris,single_source,sharpness_ratio,3,1.0027621148029964,0.0008729066083123942,1.0005935195636684,1.0049307100423244
tetris,single_source,silhouette_iou,3,0.8743387984236082,0.008724429856074684,0.8526643639863282,0.896013232860888
tetris,single_source,trajectory_mse,3,0.0028744285738078667,0.0004069220510599734,0.001863496574550428,0.0038853605730653044
