task,seed,metric,value,preliminary
tetris,0,cycle_mse,0.00434722937643528,True
tetris,0,endpoint_mse,0.05899554739395777,True
tetris,0,endpoint_psnr_db,12.599339803059896,True
tetris,0,silhouette_iou,0.48270981510480243,True
tetris,0,trajectory_mse,0.04006166383624077,True
colored,0,cycle_mse,0.004457390711953242,True
colored,0,endpoint_mse,0.11288291712601979,True
colored,0,endpoint_psnr_db,10.196982701619467,True
colored,0,silhouette_iou,0.2601163635651271,True
colored,0,trajectory_mse,0.07876981794834137,True
maze,0,endpoint_iou,0.011353358005483946,True
maze,0,endpoint_mse,0.2026759386062622,True
maze,0,goal_reached,0.0,True
maze,0,obstacle_violation_rate,0.0,True
maze,0,path_precision,1.0,True
maze,0,path_recall,0.011353358005483946,True
maze,0,trajectory_mse,0.10221796482801437,True
